Date,Time,Serial,Result,C1,C2,C3,C4,C5,C6,C7
13-02-2026,05:03:11,SN-2113,NG,0.389,0.26,0.245,0.927,1.122,0.887,0.719
13-02-2026,05:03:13,SN-6688,NG,0.752,1.106,0.796,0.496,0.195,1.071,0.832
13-02-2026,05:03:19,SN-6676,NG,0.804,0.528,1.173,0.807,0.349,0.18,0.363
13-02-2026,05:03:20,SN-4767,NG,0.358,0.489,0.818,0.359,0.799,1.022,0.418
13-02-2026,05:03:20,SN-9463,NG,0.936,0.235,0.303,0.743,0.49,0.362,0.943
13-02-2026,05:03:27,SN-7796,NG,1.139,1.0,1.118,0.95,0.124,0.416,0.121
13-02-2026,05:03:28,SN-2751,NG,0.649,0.616,0.584,0.644,0.593,0.629,0.9
13-02-2026,05:03:34,SN-2302,NG,0.455,0.449,0.639,1.141,1.047,0.128,0.833
13-02-2026,05:03:35,SN-1626,NG,0.401,0.823,0.983,0.829,1.086,0.59,0.285
13-02-2026,05:03:39,SN-6933,NG,0.942,0.839,0.61,0.987,0.905,0.494,1.158
13-02-2026,05:03:39,SN-4282,NG,0.477,0.141,0.843,0.683,0.491,0.823,0.774
13-02-2026,05:03:40,SN-7994,NG,0.862,0.483,0.826,0.773,1.019,0.782,1.179
13-02-2026,05:03:40,SN-3770,NG,0.761,0.899,1.104,0.909,0.875,1.109,1.008
13-02-2026,05:03:44,SN-4139,NG,0.13,0.515,0.712,0.534,0.527,1.076,0.145
13-02-2026,05:03:47,SN-9636,NG,0.157,0.234,0.943,0.859,0.106,0.442,0.106
13-02-2026,05:03:49,SN-2159,NG,0.867,1.014,0.788,0.357,1.102,0.282,0.271
13-02-2026,05:03:58,SN-9613,NG,0.228,0.471,0.971,0.606,0.445,0.469,0.817
13-02-2026,05:04:01,SN-9561,NG,0.147,0.133,0.27,0.975,0.911,1.02,0.632
13-02-2026,05:04:22,SN-2241,OK,0.796,0.226,0.674,0.21,0.377,0.314,0.776
13-02-2026,05:04:27,SN-5665,NG,0.261,0.109,0.994,1.11,0.6,1.05,1.164
13-02-2026,05:04:29,SN-2304,NG,0.235,0.865,0.471,0.987,0.436,0.138,1.193
13-02-2026,05:04:29,SN-5367,NG,1.016,1.066,0.233,0.927,0.88,0.379,0.671
13-02-2026,05:04:30,SN-5785,NG,0.107,0.672,0.91,0.765,1.181,1.057,1.166
13-02-2026,05:04:33,SN-9592,NG,0.281,1.089,0.894,0.711,0.446,0.627,0.602
13-02-2026,05:04:49,SN-1750,NG,1.061,1.093,1.061,0.887,0.763,0.217,0.901
13-02-2026,05:04:51,SN-3079,NG,0.909,0.531,0.103,0.559,0.681,0.264,0.304
13-02-2026,05:04:51,SN-5286,NG,1.181,1.076,0.748,0.271,1.122,0.788,1.074
16-02-2026,06:14:22,SN-1733,NG,0.292,0.224,0.736,0.826,0.382,1.099,0.705
16-02-2026,06:14:23,SN-9426,NG,0.659,1.024,0.698,0.432,1.127,0.36,0.229
16-02-2026,06:14:38,SN-9927,NG,0.156,1.097,0.418,0.492,0.686,0.92,0.742
16-02-2026,06:14:50,SN-9493,NG,1.003,0.11,0.301,1.062,1.12,1.099,1.198
16-02-2026,06:14:51,SN-4117,NG,0.792,0.489,0.356,0.108,0.258,1.159,0.924
16-02-2026,06:14:54,SN-1310,NG,0.194,0.755,0.388,0.166,0.624,0.747,1.022
16-02-2026,06:14:59,SN-9474,NG,0.941,0.685,0.88,0.793,0.325,0.739,0.886
17-02-2026,13:25:23,SN-1616,NG,0.133,0.442,0.103,0.333,0.985,1.027,0.434
17-02-2026,13:25:24,SN-6725,NG,0.563,0.46,0.766,1.068,0.747,0.102,0.171
17-02-2026,13:25:28,SN-5025,NG,0.327,0.11,0.73,0.618,1.114,0.7,0.11
18-02-2026,00:31:23,SN-2979,NG,0.741,1.065,0.518,0.275,0.449,0.874,0.376
18-02-2026,00:31:23,SN-3723,NG,0.48,0.302,0.299,0.878,0.376,0.541,1.134
18-02-2026,00:31:30,SN-3798,NG,0.709,0.485,0.928,0.856,1.017,0.253,0.922
18-02-2026,00:31:32,SN-9018,NG,0.336,0.716,0.208,0.553,0.17,0.97,0.773
18-02-2026,00:31:39,SN-1958,NG,1.096,0.436,0.306,0.251,1.082,0.972,0.764
18-02-2026,00:31:39,SN-2913,NG,0.298,0.703,1.06,0.159,1.03,0.562,1.124
18-02-2026,00:31:41,SN-7239,NG,0.878,0.423,0.785,0.193,1.098,0.675,0.942
18-02-2026,00:31:47,SN-8096,NG,0.923,0.337,1.067,0.359,0.696,0.367,0.428
18-02-2026,00:31:48,SN-3606,NG,0.911,0.851,0.668,0.238,0.678,0.451,0.711
